CrmId,Account,Subscription,SubscriptionStartDate,SubscriptionEndDate,ExtendedSubscriptionEndDate,SKU,Product,RatePlan,LocationID,MarketCode,CategoryCode
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | FL-South | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,65,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | NJ-North/Central | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,73,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | NY-Hudson Valley | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,74,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | CA-Los Angeles | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,84,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | NY-Manhattan | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,91,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | NC-North Carolina | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,107,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | FL-Northern | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,109,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | NV-Las Vegas/Southern NV | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,119,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | OR-Oregon | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,176,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | AZ-Phoenix | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,177,BWP
