Subscription,SubscriptionEndDate,SKU,Product,RatePlan,ChargeNumber,LocationID,MarketCode,CategoryCode
A-S00203727,2020-12-21,SKU-00000092,Storefront,Storefront | NJ-North/Central | Wedding Photographers,C-01518559,36F06C63-6B3A-E211-A197-005056881833,073,WPH
A-S00203727,2020-12-21,SKU-00000092,Storefront,Storefront | NJ-South | Wedding Photographers,C-01518556,36F06C63-6B3A-E211-A197-005056881833,209,WPH
A-S00203732,2020-12-21,SKU-00000092,Storefront,Storefront | NJ-North/Central | Invitations+Paper Goods,C-01518578,B52BA6DB-71DB-E111-8BEC-78E3B50834E7,073,INV
A-S00203733,2020-12-22,SKU-00000086,Preferred Position,Preferred Position | GA-Georgia | Wedding Bands,C-01518580,F7C0EC39-AC7D-E511-9E20-0050568849EA,019,BDS
A-S00203733,2020-12-22,SKU-00000092,Storefront,Storefront | GA-Georgia | Wedding Bands,C-01518579,F7C0EC39-AC7D-E511-9E20-0050568849EA,019,BDS
A-S00203734,2020-12-23,SKU-00000092,Storefront,Storefront | PA-Lehigh Valley/Poconos | Wedding Photographers,C-01518581,72DC98F8-4236-4E79-9227-1EFBB7BBB02B,274,WPH
A-S00203736,2020-12-22,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Wedding Photographers,C-01518585,6581590F-EF29-41A1-8600-A7CD81A826E1,021,WPH
A-S00203736,2020-12-22,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Wedding Photographers,C-01518584,6581590F-EF29-41A1-8600-A7CD81A826E1,021,WPH
A-S00203740,2020-12-22,SKU-00000092,Storefront,Storefront | NY-Hudson Valley | Caterers,C-01518589,261BD59C-8042-4E79-B841-3DF6B81EBF24,074,CAT
A-S00203741,2020-12-23,SKU-00000034,Featured Vendor,Featured Vendor | ME-Maine | Florists,C-01518591,555319A3-889E-E511-995E-0050568849EA,212,FLO
A-S00203741,2020-12-23,SKU-00000092,Storefront,Storefront | ME-Maine | Florists,C-01518590,555319A3-889E-E511-995E-0050568849EA,212,FLO
A-S00203743,2020-12-23,SKU-00000034,Featured Vendor,Featured Vendor | MA-Cape Cod | DJs,C-01518594,DCED81EA-F23B-47B6-B3B2-0486B4F06C96,184,DJS
A-S00203743,2020-12-23,SKU-00000092,Storefront,Storefront | MA-Cape Cod | DJs,C-01518593,DCED81EA-F23B-47B6-B3B2-0486B4F06C96,184,DJS
A-S00203744,2020-12-21,SKU-00000092,Storefront,Storefront | DC-DC/MD/Northern VA | DJs,C-01518595,52A84CEB-049D-E511-B212-005056881833,017,DJS
A-S00203746,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | NJ-North/Central | Wedding Photographers,C-01518599,374B770F-1AF6-4147-99E5-8264B992CBBF,073,WPH
A-S00203746,2020-12-21,SKU-00000092,Storefront,Storefront | NJ-North/Central | Wedding Photographers,C-01518598,374B770F-1AF6-4147-99E5-8264B992CBBF,073,WPH
A-S00203748,2020-12-22,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Diego | DJs,C-01518602,DC11960D-944C-499D-8400-9B458EE22799,050,DJS
A-S00203748,2020-12-22,SKU-00000092,Storefront,Storefront | CA-San Diego | DJs,C-01518601,DC11960D-944C-499D-8400-9B458EE22799,050,DJS
A-S00203750,2020-12-24,SKU-00000092,Storefront,Storefront | OR-Oregon | Reception Venues,C-01518605,3706F71E-9B9F-E511-B212-005056881833,176,REC
A-S00203751,2020-12-28,SKU-00000092,Storefront,Storefront | OR-Oregon | Reception Venues,C-01518606,09296D15-56DC-E111-8BEC-78E3B50834E7,176,REC
A-S00203754,2020-12-23,SKU-00000092,Storefront,Storefront | WA-Washington | Videographers,C-01518609,DBE4EA5C-10F6-44CA-978E-E403BE89C622,010,VID
A-S00203755,2020-12-24,SKU-00000092,Storefront,Storefront | MO-Kansas City | Florists,C-01518610,099233C4-E899-4A30-B901-D46757435794,005,FLO
A-S00203759,2020-12-21,SKU-00000092,Storefront,Storefront | WA-Washington | Reception Venues,C-01518625,7CA19A98-0C84-48A8-BB6F-9C44A600708D,010,REC
A-S00203761,2020-12-23,SKU-00000034,Featured Vendor,Featured Vendor | WA-Washington | Wedding Planners,C-01518629,F65D53EF-B1E0-4D3E-ADD4-DD47034C986B,010,PLN
A-S00203761,2020-12-23,SKU-00000092,Storefront,Storefront | WA-Washington | Wedding Planners,C-01518628,F65D53EF-B1E0-4D3E-ADD4-DD47034C986B,010,PLN
A-S00203763,2020-12-25,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | CO-Colorado | Bridal Salons,C-01518632,E4B91589-F4DA-E111-8BEC-78E3B50834E7,020,BWP
A-S00203763,2020-12-25,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | CO-Colorado | Bridal Salons,C-01518631,E4B91589-F4DA-E111-8BEC-78E3B50834E7,020,BWP
A-S00203765,2020-12-29,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | NY-Wstrn/Cent/Upstate | Bridal Salons,C-01518636,9BCFF48C-9C66-E311-836D-005056881833,189,BWP
A-S00203765,2020-12-29,SKU-00000034,Featured Vendor,Featured Vendor | NY-Wstrn/Cent/Upstate | Bridal Salons,C-01518635,9BCFF48C-9C66-E311-836D-005056881833,189,BWP
A-S00203766,2020-12-23,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | CA-San Fran/Bay Area | Bridal Salons,C-01518637,9B4209E3-5CDC-E111-8BEC-78E3B50834E7,012,BWP
A-S00203767,2020-12-27,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | TX-Dallas | Bridal Salons,C-01518639,C49A0B86-9B4D-4774-B830-FF0B1C10FEC0,006,BWP
A-S00203767,2020-12-27,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | TX-Dallas | Bridal Salons,C-01518638,C49A0B86-9B4D-4774-B830-FF0B1C10FEC0,006,BWP
A-S00203768,2020-12-31,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Bridal Salons,C-01518641,1EB711F4-4630-4938-B8B0-19B293D4559D,021,BWP
A-S00203768,2020-12-31,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Bridal Salons,C-01518640,1EB711F4-4630-4938-B8B0-19B293D4559D,021,BWP
A-S00203771,2020-12-21,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | MD-Baltimore | Bridal Salons,C-01518660,EEBAC2F3-ACDA-E111-8BEC-78E3B50834E7,030,BWP
A-S00203771,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | MD-Baltimore | Bridal Salons,C-01518659,EEBAC2F3-ACDA-E111-8BEC-78E3B50834E7,030,BWP
A-S00203774,2020-12-22,SKU-00000034,Featured Vendor,Featured Vendor | FL-South | Bridal Salons,C-01518666,B641E452-0EA5-402E-B161-E5291BEB6C1E,065,BWP
A-S00203774,2020-12-22,SKU-00000092,Storefront,Storefront | FL-South | Bridal Salons,C-01518665,B641E452-0EA5-402E-B161-E5291BEB6C1E,065,BWP
A-S00203775,2020-12-26,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | NY-Long Island | Bridal Salons,C-01518667,CF02A421-D013-4F17-8238-9582E052BBDB,182,BWP
A-S00203775,2020-12-26,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | NY-Long Island | Bridal Salons,C-01518668,CF02A421-D013-4F17-8238-9582E052BBDB,182,BWP
A-S00203776,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | NC-North Carolina | Bridal Salons,C-01518670,A264F15A-5D7B-4482-8433-7492CA17D4C3,107,BWP
A-S00203776,2020-12-21,SKU-00000092,Storefront,Storefront | NC-North Carolina | Bridal Salons,C-01518669,A264F15A-5D7B-4482-8433-7492CA17D4C3,107,BWP
A-S00203777,2020-12-21,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | NC-North Carolina | Bridal Salons,C-01518671,CBD12808-BCDC-E111-8CC6-78E3B5102E43,107,BWP
A-S00203777,2020-12-21,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | NC-North Carolina | Bridal Salons,C-01518672,CBD12808-BCDC-E111-8CC6-78E3B5102E43,107,BWP
A-S00203778,2020-12-23,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | MN-Minnesota | Bridal Salons,C-01518674,547E5382-5EDB-E111-8BEC-78E3B50834E7,004,BWP
A-S00203778,2020-12-23,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | MN-Minnesota | Bridal Salons,C-01518673,547E5382-5EDB-E111-8BEC-78E3B50834E7,004,BWP
A-S00203780,2020-12-23,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | MN-Minnesota | Bridal Salons,C-01518677,E37377B2-89FC-4DD1-911F-C8389057A5A3,004,BWP
A-S00203780,2020-12-23,SKU-00000092,Storefront,Storefront | MN-Minnesota | Bridal Salons,C-01518678,E37377B2-89FC-4DD1-911F-C8389057A5A3,004,BWP
A-S00203782,2020-12-30,SKU-00000092,Storefront,Storefront | RI-Rhode Island | Bridal Salons,C-01518680,505D54E1-5ADC-E111-8BEC-78E3B50834E7,185,BWP
A-S00203783,2020-12-26,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | TX-San Antonio | Bridal Salons,C-01518682,DDF17E3B-A771-E411-8C67-0050568849EA,180,BWP
A-S00203783,2020-12-26,SKU-00000034,Featured Vendor,Featured Vendor | TX-San Antonio | Bridal Salons,C-01518681,DDF17E3B-A771-E411-8C67-0050568849EA,180,BWP
A-S00203784,2020-12-22,SKU-00000034,Featured Vendor,Featured Vendor | TX-San Antonio | Beauty,C-01518684,850E53F5-97B9-4B37-8A61-177241C90F7F,180,BEA
A-S00203784,2020-12-22,SKU-00000092,Storefront,Storefront | TX-San Antonio | Beauty,C-01518683,850E53F5-97B9-4B37-8A61-177241C90F7F,180,BEA
A-S00203785,2020-12-28,SKU-00000092,Storefront,Storefront | TX-Houston | Beauty,C-01518685,A46CA8A9-3A86-42E4-A6CE-93049E042220,183,BEA
A-S00203786,2020-12-31,SKU-00000034,Featured Vendor,Featured Vendor | CA-Sacramento/Tahoe/Reno | Beauty,C-01518686,D3CD3128-4967-E311-9CA4-0050568849EA,271,BEA
A-S00203786,2020-12-31,SKU-00000092,Storefront,Storefront | CA-Sacramento/Tahoe/Reno | Beauty,C-01518687,D3CD3128-4967-E311-9CA4-0050568849EA,271,BEA
A-S00203787,2020-12-21,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | OH-Columbus | Bridal Salons,C-01518688,E771784E-449D-E511-995E-0050568849EA,054,BWP
A-S00203787,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | OH-Columbus | Bridal Salons,C-01518689,E771784E-449D-E511-995E-0050568849EA,054,BWP
A-S00203788,2020-12-29,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | MO-St. Louis | Bridal Salons,C-01518691,4BCC4B46-449C-4439-8679-A352C4B1A8A6,041,BWP
A-S00203788,2020-12-29,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | MO-St. Louis | Bridal Salons,C-01518690,4BCC4B46-449C-4439-8679-A352C4B1A8A6,041,BWP
A-S00203790,2020-12-31,SKU-00000034,Featured Vendor,Featured Vendor | TX-Austin | Beauty,C-01518694,8E9683A2-4FDC-E111-8BEC-78E3B50834E7,191,BEA
A-S00203790,2020-12-31,SKU-00000092,Storefront,Storefront | TX-Austin | Beauty,C-01518695,8E9683A2-4FDC-E111-8BEC-78E3B50834E7,191,BEA
A-S00203791,2020-12-26,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Diego | Beauty,C-01518697,CD18F82D-75F8-42B2-8761-B294BF185C1B,050,BEA
A-S00203791,2020-12-26,SKU-00000092,Storefront,Storefront | CA-San Diego | Beauty,C-01518696,CD18F82D-75F8-42B2-8761-B294BF185C1B,050,BEA
A-S00203792,2020-12-25,SKU-00000092,Storefront,Storefront | CA-Orange County | Beauty,C-01518698,3D9B24D2-8071-4EE8-9056-0835AC822B58,042,BEA
A-S00203793,2020-12-25,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | PA-Lehigh Valley/Poconos | Bridal Salons,C-01518699,CBF116EA-A143-E211-810D-0050568849EA,274,BWP
A-S00203796,2020-12-28,SKU-00000024,Bridal Salon Referral Program-Bridal Party - Storefront,Bridal Salon Referral Program-Bridal Party - Storefront | MI-Lansing/Tri-Cities | Bridal Salons,C-01518704,F9CAD7B5-B0DA-E111-8BEC-78E3B50834E7,187,BWP
A-S00203797,2020-12-22,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | CA-San Diego | Beauty,C-01518706,58D22D27-9DBE-E311-9C4E-0050568849EA,050,BEA
A-S00203797,2020-12-22,SKU-00000092,Storefront,Storefront | CA-San Diego | Beauty,C-01518705,58D22D27-9DBE-E311-9C4E-0050568849EA,050,BEA
A-S00203798,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | TX-Dallas | Beauty,C-01518708,0B2BFF5F-32FC-4447-B543-A8D67E903AA9,006,BEA
A-S00203798,2020-12-21,SKU-00000092,Storefront,Storefront | TX-Dallas | Beauty,C-01518707,0B2BFF5F-32FC-4447-B543-A8D67E903AA9,006,BEA
A-S00203802,2020-12-26,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Fran/Bay Area | Transportation,C-01518718,B63FEA0D-BBA0-E511-995E-0050568849EA,012,TRA
A-S00203802,2020-12-26,SKU-00000092,Storefront,Storefront | CA-San Fran/Bay Area | Transportation,C-01518719,B63FEA0D-BBA0-E511-995E-0050568849EA,012,TRA
A-S00203805,2020-12-23,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Wedding Photographers,C-01518726,DA5735BF-A21F-410E-B248-FE54BFDE28AD,021,WPH
A-S00203805,2020-12-23,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Wedding Photographers,C-01518727,DA5735BF-A21F-410E-B248-FE54BFDE28AD,021,WPH
A-S00203809,2020-12-25,SKU-00000034,Featured Vendor,Featured Vendor | MO-Kansas City | Wedding Photographers,C-01518755,054F5BB1-EA72-41CF-8298-924E2B638522,005,WPH
A-S00203809,2020-12-25,SKU-00000092,Storefront,Storefront | MO-Kansas City | Wedding Photographers,C-01518756,054F5BB1-EA72-41CF-8298-924E2B638522,005,WPH
A-S00203810,2020-12-26,SKU-00000034,Featured Vendor,Featured Vendor | OR-Oregon | Reception Venues,C-01518758,CDB15A8C-6082-E411-9075-005056881833,176,REC
A-S00203810,2020-12-26,SKU-00000092,Storefront,Storefront | OR-Oregon | Reception Venues,C-01518757,CDB15A8C-6082-E411-9075-005056881833,176,REC
A-S00203811,2020-12-28,SKU-00000092,Storefront,Storefront | CA-San Fran/Bay Area | Reception Venues,C-01518759,74B59A61-CD4B-E211-810D-0050568849EA,012,REC
A-S00203812,2020-12-30,SKU-00000092,Storefront,Storefront | WA-Washington | Photo Booths,C-01518760,7941E7F4-FAB7-4EA8-AD87-DDE4059D09E4,010,PHB
A-S00203817,2020-12-22,SKU-00000092,Storefront,Storefront | AZ-Phoenix | Ensembles+Soloists,C-01518774,3847EC60-5DDC-E111-8BEC-78E3B50834E7,177,ENS
A-S00203818,2020-12-24,SKU-00000092,Storefront,Storefront | WI-Wisconsin | Rentals,C-01518775,EA3D8AA8-F842-E211-810D-0050568849EA,175,RNT
A-S00203825,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago | Fine Jewelry,C-01518785,2E9864C6-C8DC-E111-8CC6-78E3B5102E43,045,JWL
A-S00203825,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago Suburbs | Fine Jewelry,C-01518784,2E9864C6-C8DC-E111-8CC6-78E3B5102E43,179,JWL
A-S00203825,2020-12-21,SKU-00000073,Jewelry Store Referral Program-Jewelry Search - Storefront,Jewelry Store Referral Program-Jewelry Search - Storefront | IL-Chicago | Fine Jewelry,C-01518786,2E9864C6-C8DC-E111-8CC6-78E3B5102E43,045,JWL
A-S00203825,2020-12-21,SKU-00000073,Jewelry Store Referral Program-Jewelry Search - Storefront,Jewelry Store Referral Program-Jewelry Search - Storefront | IL-Chicago Suburbs | Fine Jewelry,C-01518787,2E9864C6-C8DC-E111-8CC6-78E3B5102E43,179,JWL
A-S00203829,2020-12-01,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Officiants+Premarital Counseling,C-01518792,F69B0F9E-452D-4438-A6BA-68C42864CFB7,021,OPC
A-S00203831,2020-12-26,SKU-00000034,Featured Vendor,Featured Vendor | DC-DC/MD/Northern VA | Videographers,C-01518795,C895AEC6-D3B8-4F16-9E54-FA2AC36D4C53,017,VID
A-S00203831,2020-12-26,SKU-00000092,Storefront,Storefront | DC-DC/MD/Northern VA | Videographers,C-01518796,C895AEC6-D3B8-4F16-9E54-FA2AC36D4C53,017,VID
A-S00203833,2020-12-28,SKU-00000034,Featured Vendor,Featured Vendor | DC-DC/MD/Northern VA | Wedding Photographers,C-01518808,62F2691E-BF26-482E-9F81-FD7F11E03DAB,017,WPH
A-S00203833,2020-12-28,SKU-00000034,Featured Vendor,Featured Vendor | MD-Baltimore | Wedding Photographers,C-01518805,62F2691E-BF26-482E-9F81-FD7F11E03DAB,030,WPH
A-S00203833,2020-12-28,SKU-00000092,Storefront,Storefront | DC-DC/MD/Northern VA | Wedding Photographers,C-01518807,62F2691E-BF26-482E-9F81-FD7F11E03DAB,017,WPH
A-S00203833,2020-12-28,SKU-00000092,Storefront,Storefront | MD-Baltimore | Wedding Photographers,C-01518806,62F2691E-BF26-482E-9F81-FD7F11E03DAB,030,WPH
A-S00203838,2020-12-29,SKU-00000034,Featured Vendor,Featured Vendor | NJ-North/Central | Transportation,C-01518823,909F83E4-5B2C-416C-B71A-F881B027BB87,073,TRA
A-S00203838,2020-12-29,SKU-00000092,Storefront,Storefront | NJ-North/Central | Transportation,C-01518822,909F83E4-5B2C-416C-B71A-F881B027BB87,073,TRA
A-S00203843,2020-12-23,SKU-00000092,Storefront,Storefront | CO-Colorado | Invitations+Paper Goods,C-01518833,06BEF3A7-ED58-4388-9030-5CBA9E5D2FBD,020,INV
A-S00203846,2020-12-28,SKU-00000034,Featured Vendor,Featured Vendor | MO-Kansas City | Reception Venues,C-01518837,68656DDD-DA9D-438A-ACD3-090D55BA09AF,005,REC
A-S00203853,2020-12-27,SKU-00000092,Storefront,Storefront | NY-Hudson Valley | Officiants+Premarital Counseling,C-01518850,6DEF04BA-BDDC-E111-8CC6-78E3B5102E43,074,OPC
A-S00203854,2020-12-26,SKU-00000092,Storefront,Storefront | CA-Los Angeles | Wedding Photographers,C-01518851,C3BB2750-9A8B-4CE8-B30D-93F3BEFF1AAB,084,WPH
A-S00203861,2020-12-31,SKU-00000092,Storefront,Storefront | AR-Arkansas | Wedding Cakes,C-01518871,52D808FC-7367-E311-836D-005056881833,257,WCK
A-S00203863,2020-12-28,SKU-00000034,Featured Vendor,Featured Vendor | MO-St. Louis | Invitations+Paper Goods,C-01518874,CEF5055A-2B46-E211-810D-0050568849EA,041,INV
A-S00203863,2020-12-28,SKU-00000092,Storefront,Storefront | MO-St. Louis | Invitations+Paper Goods,C-01518875,CEF5055A-2B46-E211-810D-0050568849EA,041,INV
A-S00203864,2020-12-25,SKU-00000034,Featured Vendor,Featured Vendor | MO-St. Louis | Photo Booths,C-01518877,BDD40DA0-A462-E311-836D-005056881833,041,PHB
A-S00203864,2020-12-25,SKU-00000092,Storefront,Storefront | MO-St. Louis | Photo Booths,C-01518876,BDD40DA0-A462-E311-836D-005056881833,041,PHB
A-S00203867,2020-12-26,SKU-00000092,Storefront,Storefront | CT-Connecticut | Wedding Planners,C-01518880,FEB3C7BC-5D59-43A2-8902-75696895F440,051,PLN
A-S00203868,2020-12-28,SKU-00000092,Storefront,Storefront | CT-Connecticut | Florists,C-01518881,E9BC4EAB-4ADC-E111-8BEC-78E3B50834E7,051,FLO
A-S00203869,2020-12-29,SKU-00000092,Storefront,Storefront | MO-St. Louis | Wedding Planners,C-01518882,626D36E3-8EDD-E111-8CC6-78E3B5102E43,041,PLN
A-S00203870,2020-12-21,SKU-00000092,Storefront,Storefront | MD-Baltimore | Wedding Photographers,C-01518884,3C594503-7D8E-4967-A424-DE3841FA49C8,030,WPH
A-S00203871,2020-12-26,SKU-00000034,Featured Vendor,Featured Vendor | DC-DC/MD/Northern VA | Videographers,C-01518886,1443FB20-51DC-E111-8BEC-78E3B50834E7,017,VID
A-S00203871,2020-12-26,SKU-00000092,Storefront,Storefront | DC-DC/MD/Northern VA | Videographers,C-01518885,1443FB20-51DC-E111-8BEC-78E3B50834E7,017,VID
A-S00203873,2020-12-28,SKU-00000092,Storefront,Storefront | HI-Hawaii | Florists,C-01518888,E37FAD21-B7F2-4A8C-A5D0-D5ED7EEE0039,195,FLO
A-S00203874,2020-12-28,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | CA-San Fran/Bay Area | Wedding Bands,C-01518890,29B8749D-90E1-49CB-BC8C-FDB1243E24C1,012,BDS
A-S00203874,2020-12-28,SKU-00000092,Storefront,Storefront | CA-San Fran/Bay Area | Wedding Bands,C-01518889,29B8749D-90E1-49CB-BC8C-FDB1243E24C1,012,BDS
A-S00203883,2020-12-26,SKU-00000092,Storefront,Storefront | AR-Arkansas | Wedding Photographers,C-01518917,2E220535-9004-4A85-8218-553BE81DB888,257,WPH
A-S00203884,2020-12-25,SKU-00000092,Storefront,Storefront | NV-Las Vegas/Southern NV | Photo Booths,C-01518918,AA751AAC-A7BA-4FF2-852B-BCBF46E853DD,119,PHB
A-S00203887,2020-12-26,SKU-00000092,Storefront,Storefront | DC-DC/MD/Northern VA | Videographers,C-01518921,53789488-AA4E-4A6C-8DA9-AE768A7CACEC,017,VID
A-S00203888,2020-12-28,SKU-00000092,Storefront,Storefront | MO-Kansas City | Wedding Photographers,C-01518922,CE1A174C-67F0-49F3-B19A-1E632086D32A,005,WPH
A-S00203889,2020-12-22,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | MD-Baltimore | Caterers,C-01518923,38ABA748-5DDC-E111-8BEC-78E3B50834E7,030,CAT
A-S00203889,2020-12-22,SKU-00000092,Storefront,Storefront | MD-Baltimore | Caterers,C-01518924,38ABA748-5DDC-E111-8BEC-78E3B50834E7,030,CAT
A-S00203890,2020-12-25,SKU-00000034,Featured Vendor,Featured Vendor | DC-DC/MD/Northern VA | DJs,C-01518925,48239103-A358-4C70-9075-4E34602C7638,017,DJS
A-S00203893,2020-12-25,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | MO-St. Louis | Wedding Planners,C-01518936,6F91A7AD-55DB-E111-8BEC-78E3B50834E7,041,PLN
A-S00203893,2020-12-25,SKU-00000092,Storefront,Storefront | MO-St. Louis | Wedding Designers,C-01518938,6F91A7AD-55DB-E111-8BEC-78E3B50834E7,041,DES
A-S00203893,2020-12-25,SKU-00000092,Storefront,Storefront | MO-St. Louis | Wedding Planners,C-01518937,6F91A7AD-55DB-E111-8BEC-78E3B50834E7,041,PLN
A-S00203894,2020-12-27,SKU-00000092,Storefront,Storefront | NY-Outer Boroughs | Videographers,C-01518939,FEA71BB6-0A34-4BA0-8F44-4ADFB1E388A8,291,VID
A-S00203896,2020-12-22,SKU-00000092,Storefront,Storefront | CA-San Fran/Bay Area | Dance Lessons,C-01518941,61649EB2-84F0-475B-A2E1-CEAFCF556E56,012,DNC
A-S00203898,2020-12-23,SKU-00000034,Featured Vendor,Featured Vendor | PA-Pittsburgh | Wedding Photographers,C-01518943,3649B301-E801-4857-A56C-7BC420BDC9FF,117,WPH
A-S00203898,2020-12-23,SKU-00000092,Storefront,Storefront | PA-Pittsburgh | Wedding Photographers,C-01518944,3649B301-E801-4857-A56C-7BC420BDC9FF,117,WPH
A-S00203898,2020-12-23,SKU-00000034,Featured Vendor,Featured Vendor | PA-Pittsburgh | Videographers,C-01518946,446C25F4-CEE8-43CB-8754-B40482C38E1F,117,VID
A-S00203898,2020-12-23,SKU-00000092,Storefront,Storefront | PA-Pittsburgh | Videographers,C-01518945,446C25F4-CEE8-43CB-8754-B40482C38E1F,117,VID
A-S00203902,2020-12-25,SKU-00000034,Featured Vendor,Featured Vendor | NJ-South | Reception Venues,C-01535309,F1AD06EA-6881-E411-8C67-0050568849EA,209,REC
A-S00203902,2020-12-25,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Reception Venues,C-01518954,F1AD06EA-6881-E411-8C67-0050568849EA,021,REC
A-S00203902,2020-12-25,SKU-00000092,Storefront,Storefront | NJ-South | Reception Venues,C-01535308,F1AD06EA-6881-E411-8C67-0050568849EA,209,REC
A-S00203902,2020-12-25,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Reception Venues,C-01518953,F1AD06EA-6881-E411-8C67-0050568849EA,021,REC
A-S00203903,2020-12-25,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Wedding Planners,C-01518956,8314A4A0-7EDD-E111-8CC6-78E3B5102E43,021,PLN
A-S00203903,2020-12-25,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Wedding Planners,C-01518955,8314A4A0-7EDD-E111-8CC6-78E3B5102E43,021,PLN
A-S00203905,2020-12-30,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Wedding Planners,C-01518960,CDA155C3-5ADC-E111-8BEC-78E3B50834E7,021,PLN
A-S00203905,2020-12-30,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Wedding Planners,C-01518959,CDA155C3-5ADC-E111-8BEC-78E3B50834E7,021,PLN
A-S00203908,2020-12-24,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Wedding Cakes,C-01518963,CEE40E81-EFDA-E111-8BEC-78E3B50834E7,021,WCK
A-S00203912,2020-12-28,SKU-00000092,Storefront,Storefront | MA-Cape Cod | Rentals,C-01518970,949557AA-5BDC-E111-8BEC-78E3B50834E7,184,RNT
A-S00203913,2020-12-25,SKU-00000092,Storefront,Storefront | SC-South Carolina | Reception Venues,C-01518971,7DB8D6E3-7481-E511-B212-005056881833,188,REC
A-S00203914,2020-12-27,SKU-00000034,Featured Vendor,Featured Vendor | SC-South Carolina | Wedding Photographers,C-01564700,C5A8F3E2-FBC4-4DC5-847E-A2B20CE61428,188,WPH
A-S00203914,2020-12-27,SKU-00000092,Storefront,Storefront | SC-South Carolina | Wedding Photographers,C-01518972,C5A8F3E2-FBC4-4DC5-847E-A2B20CE61428,188,WPH
A-S00203915,2020-12-21,SKU-00000092,Storefront,Storefront | DC-DC/MD/Northern VA | Officiants+Premarital Counseling,C-01518973,9E13C6E1-9C1D-4F2A-A1F3-91465D1C71E9,017,OPC
A-S00203918,2020-12-31,SKU-00000086,Preferred Position,Preferred Position | PA-Pittsburgh | Reception Venues,C-01518977,7E4D0C0A-FEDB-E111-8BEC-78E3B50834E7,117,REC
A-S00203918,2020-12-31,SKU-00000092,Storefront,Storefront | PA-Pittsburgh | Reception Venues,C-01518978,7E4D0C0A-FEDB-E111-8BEC-78E3B50834E7,117,REC
A-S00203919,2020-12-29,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago Suburbs | Fine Jewelry,C-01518979,7870C81A-6D84-E411-9075-005056881833,179,JWL
