Subscription,SubscriptionEndDate,SKU,Product,RatePlan,ChargeNumber,LocationID,MarketCode,CategoryCode
A-S00208644,2020-12-20,SKU-00000092,Storefront,Storefront | SC-South Carolina | Officiants+Premarital Counseling,C-01531224,3BE3D7C8-1DE0-E211-AD19-0050568849EA,188,OPC
A-S00208677,2020-12-21,SKU-00000092,Storefront,Storefront | MN-Minnesota | Beauty,C-01531288,0FE73289-7A01-4C3E-B1E8-99B35C5A0AEB,004,BEA
A-S00208682,2020-12-21,SKU-00000092,Storefront,Storefront | TX-Houston | Reception Venues,C-01531298,31AFC225-0D0B-477B-A0C1-BFEC2EDB0FB2,183,REC
A-S00208692,2020-12-21,SKU-00000092,Storefront,Storefront | TX-San Antonio | Officiants+Premarital Counseling,C-01531320,9B66416C-CA42-4D2A-8F48-144F6529E101,180,OPC
A-S00208693,2020-12-21,SKU-00000092,Storefront,Storefront | OH-Columbus | Officiants+Premarital Counseling,C-01531321,BB0897CF-9415-47A2-B879-852DA4203091,054,OPC
A-S00208695,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | NJ-South | Wedding Photographers,C-01531324,4BF95D3E-1A53-498A-A9F1-E00E952D4068,209,WPH
A-S00208695,2020-12-21,SKU-00000092,Storefront,Storefront | NJ-South | Wedding Photographers,C-01531323,4BF95D3E-1A53-498A-A9F1-E00E952D4068,209,WPH
A-S00208696,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | TX-Austin | Shower+Party Venues,C-01531326,8263CF2E-B81D-481F-A0FF-87055B394219,191,SPV
A-S00208696,2020-12-21,SKU-00000092,Storefront,Storefront | TX-Austin | Shower+Party Venues,C-01531325,8263CF2E-B81D-481F-A0FF-87055B394219,191,SPV
A-S00208703,2020-12-21,SKU-00000092,Storefront,Storefront | IA-Iowa | Wedding Photographers,C-01531351,7E48A011-154A-412B-B79B-359E56969538,003,WPH
A-S00208704,2020-12-21,SKU-00000092,Storefront,Storefront | MN-Minnesota | Invitations+Paper Goods,C-01531352,6179706D-260A-4638-835B-216DA1B761FA,004,INV
A-S00208708,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | KY-Kentucky | Videographers,C-01531358,53824B2D-1B69-469A-8471-7B875510DCE0,040,VID
A-S00208708,2020-12-19,SKU-00000092,Storefront,Storefront | KY-Kentucky | Videographers,C-01531357,53824B2D-1B69-469A-8471-7B875510DCE0,040,VID
