Account Owner,WW Vendor Id,Account Name,TKWW Paid Classification,TK Listing Visibility,WW Listing Visibility,Closest Product End Date,URL,LocationID,TK Company ID,AccountID
Melina Klinger Walzer,70562,Casa Feliz,2,Paid,Paid,3/21/2020,https://my.matterport.com/show/?m=HWwQc6z517W&brand=0,ea216527-43ee-4a9a-b024-051b05beb431,ea216527-43ee-4a9a-b024-051b05beb431,58dcbb41-a18d-41ba-a7e6-a33000cb91a8
David Quatresols,787887,Falls Manor Catering & Special Events,2,Paid,Paid,3/22/2020,https://my.matterport.com/show/?m=qtLZxNb3dvA&brand=0,4885980d-0219-e511-8c67-0050568849ea,4885980d-0219-e511-8c67-0050568849ea,a6544765-e526-4832-957f-a4bf00c99594
Kristyn Staneski,2062,Wild Basin Lodge and Event Center,2,Paid,Paid,3/22/2020,https://my.matterport.com/show/?m=xxyjSG8YaHn&brand=0,5e589526-23db-e111-8bec-78e3b50834e7,5e589526-23db-e111-8bec-78e3b50834e7,ec465d03-dd5e-427e-ba4a-e06dac869e55
Cynthia Elley,710106,Cricket Hill Ranch,2,Paid,Paid,3/22/2020,https://my.matterport.com/show/?m=d3kKfhpRZsR&brand=0,f3a683cf-c31c-e411-9c4e-0050568849ea,f3a683cf-c31c-e411-9c4e-0050568849ea,9c777459-9c36-48d3-91a3-a37e00c98b30
Melina Klinger Walzer,437643,Golden Ocala Golf & Equestrian Club,2,Paid,Paid,3/23/2020,https://my.matterport.com/show/?m=H9jwqbDNEu7&brand=0,03018a22-fedc-e111-8cc6-78e3b5102e43,03018a22-fedc-e111-8cc6-78e3b5102e43,06df1210-4e60-4c74-819a-35433ef035b7
Mindi Middleton,756711,Belflower Chapel and Event Center,2,Paid,Paid,3/23/2020,https://my.matterport.com/show/?m=5QnJf1Mn5UU&brand=0,4238b3b6-f17c-e511-9e20-0050568849ea,4238b3b6-f17c-e511-9e20-0050568849ea,5d27f58a-6068-42b5-9b75-a53e010fae77
Margaret Fazio,539000,Brooklyn Winery,2,Paid,Paid,3/23/2020,https://my.matterport.com/show/?m=p3EBDbnzdR2&brand=0,d177acf2-4ddc-e111-8bec-78e3b50834e7,d177acf2-4ddc-e111-8bec-78e3b50834e7,fea962fc-1753-47f8-a829-88cc511f5421
David Quatresols,85908,Bay Pointe Inn and Terrace Grille,2,Paid,Paid,3/25/2020,https://my.matterport.com/show/?m=x1ScVV275Lf&brand=0,972bacab-6490-e411-9075-005056881833,972bacab-6490-e411-9075-005056881833,323fac6a-9cd9-441d-9d7e-a41100f31140
Veronica Hatch,697306,Fremont Foundry Events,2,Paid,Paid,3/25/2020,https://my.matterport.com/show/?m=csQx2mRD7mq&brand=0,9e6c04eb-f261-499a-b3c5-5a58a9a495f0,9e6c04eb-f261-499a-b3c5-5a58a9a495f0,daf89cbb-54cf-4de5-874b-a6b3008769b8
Jessica Smith,358233,Foxhall Resort,2,Paid,Paid,3/25/2020,https://my.matterport.com/show/?m=4YQnZcvc5XW&brand=0,cdb39518-0a3b-e211-810d-0050568849ea,cdb39518-0a3b-e211-810d-0050568849ea,c1b81d99-822b-424e-8032-675f77a0cbdf
Veronica Hatch,307512,The Ruins,2,Paid,Paid,3/25/2020,https://my.matterport.com/show/?m=TTVcysXS5tR&brand=0,ffe56188-18dc-e111-8cc6-78e3b5102e43,ffe56188-18dc-e111-8cc6-78e3b5102e43,a639b61e-8bde-49e8-a03a-46c1a60aafe0
Lisa Hamilton,631952,A Private Estate,2,Paid,Paid,3/26/2020,https://my.matterport.com/show/?m=7LUHajCWZst&brand=0,aad40716-5d92-48d1-801b-ffdf48880af6,aad40716-5d92-48d1-801b-ffdf48880af6,179249e8-7be2-4fa7-ba1c-a69d00f6d3f6
Heather Dorsten,996884,Covington Farm Weddings,2,Paid,Paid,3/27/2020,https://my.matterport.com/show/?m=KfXvR8ec3ZC&brand=0,4a4b8698-1184-4c70-a895-016846719f86,4a4b8698-1184-4c70-a895-016846719f86,13b5f2ea-dcbf-4a14-808e-bac9ebbc01cb
Kelsey Winkler,1514,Electra Cruises,2,Paid,Paid,3/27/2020,https://my.matterport.com/show/?m=FvPx1epMihS&brand=0,5291ce3a-c3da-e111-8bec-78e3b50834e7,5291ce3a-c3da-e111-8bec-78e3b50834e7,f81bf65e-b111-40f1-be4c-c5365f775b3b
Cynthia Elley,25926,Canyon Springs Golf Club,2,Paid,Paid,3/27/2020,https://my.matterport.com/show/?m=H9UjzpRWTVD&brand=0,92317dad-cdb9-47c4-8df3-f9a9e87a1ba1,92317dad-cdb9-47c4-8df3-f9a9e87a1ba1,81bb63bd-0ab6-4b33-96b1-c2accf61825e
Tamara Pacwa,740729,The Cedar Room at the Cigar Factory,2,Paid,Paid,3/28/2020,https://my.matterport.com/show/?m=MsSn8fojT7j&brand=0,46323357-c666-e411-8c67-0050568849ea,46323357-c666-e411-8c67-0050568849ea,bfdf2fd5-61eb-4c63-a915-a3dc0101bfb4
Betsy Anderson,1018350,Historic Ann's 1893,2,Paid,Paid,3/28/2020,https://my.matterport.com/show/?m=3ZLQou54c92&brand=0,67ed8c55-f041-4b0b-b6e1-8fd20c840cc4,67ed8c55-f041-4b0b-b6e1-8fd20c840cc4,0a9ca80a-406a-40d0-b7df-3aa99d2a1ede
Julie Johnston,197992,Manitou Grill & Event Center,2,Paid,Paid,3/29/2020,https://my.matterport.com/show/?m=21YSJtse3J4&brand=0,02739c48-87f3-e111-b567-78e3b5102ea7,02739c48-87f3-e111-b567-78e3b5102ea7,9f790926-26d1-4cd0-a047-fb4d1c95018f
Rhonda Ross,725263,WAREHOUSE 109,2,Paid,Paid,3/29/2020,https://my.matterport.com/show/?m=foDNaNZz9HK&brand=0,6764793c-3b0b-4a46-8626-22158a580334,6764793c-3b0b-4a46-8626-22158a580334,1f222b66-49f1-4510-9cdc-a5bb007e01ae
Cecelia Wicklin,5996,The Grove Redfield Estate,2,Paid,Paid,3/29/2020,https://my.matterport.com/show/?m=VetV6FGBiZA&brand=0,b10700bf-62b4-e311-b6b3-005056881833,b10700bf-62b4-e311-b6b3-005056881833,8bbf73a7-7ca3-4fae-b9b0-14ce0aa940c4
Silver Varela,800802,Southern Grace Beach House,2,Paid,Paid,3/29/2020,https://my.matterport.com/show/?m=oa3zdwpci9p&brand=0,c72baa08-5a48-4b44-9b32-b192919492d2,c72baa08-5a48-4b44-9b32-b192919492d2,8fa3480a-9787-4b67-9734-a8a4010aca65
Tara Hinshillwood,27518,White Clay Creek Country Club,2,Paid,Paid,3/29/2020,https://my.matterport.com/show/?m=jKY9sfZXNSS&brand=0,dff7f516-43db-e111-8cc6-78e3b5102e43,dff7f516-43db-e111-8cc6-78e3b5102e43,6e54d300-8aa5-4820-91b4-f463cd2d6333
Mark Pittman,1003192,Sunset Ranch Event Center,2,Paid,Paid,3/30/2020,https://my.matterport.com/show/?m=4dLFPzjFCJT&brand=0,36b6fe13-554f-4e60-8fd3-d1746e0c5ddf,36b6fe13-554f-4e60-8fd3-d1746e0c5ddf,8f6eb8f7-6875-4f50-bd15-a8b0012c0eea
Sarah Rucinski,24824,Salero,2,Paid,Paid,3/30/2020,https://my.matterport.com/show/?m=ZNsBEXLzpmU&brand=0,6401b76a-13dc-e111-8bec-78e3b50834e7,6401b76a-13dc-e111-8bec-78e3b50834e7,a56db54b-a7e9-4461-8cdb-77639d67eade
Melina Klinger Walzer,2038,Sweetwater Branch Inn,2,Paid,Paid,3/30/2020,https://my.matterport.com/show/?m=M1RkDxBYM6a&brand=0,a8325605-d1da-e111-8bec-78e3b50834e7,a8325605-d1da-e111-8bec-78e3b50834e7,4de52815-1c06-4bb3-881d-7f16ddc53eba
Elise Kneram,557751,Crowne Plaza Foster City,2,Paid,Paid,3/30/2020,https://my.matterport.com/show/?m=rzv4ZvjvNVD&brand=0,fafb1bff-1cdc-e111-8cc6-78e3b5102e43,fafb1bff-1cdc-e111-8cc6-78e3b5102e43,85a4d669-43c7-4be1-b51b-0076aea657e4
Amy Reynolds,2624,Sky Meadow Country Club,2,Paid,Paid,3/31/2020,https://my.matterport.com/show/?m=4Aqaj7k7SFh&brand=0,3b1e7bbb-deda-e111-8bec-78e3b50834e7,3b1e7bbb-deda-e111-8bec-78e3b50834e7,c83b9b20-b501-4d56-a91c-4f0eb5a80a71
Megan Guffey,778513,Barn at Trinity Peak,2,Paid,Paid,3/31/2020,https://my.matterport.com/show/?m=tEtxtqo54fy&brand=0,499fdcd2-271c-e511-9075-005056881833,499fdcd2-271c-e511-9075-005056881833,841376e6-9139-40ca-ab9d-a40f01528a4f
Cynthia Elley,166863,Old Glory Ranch,2,Paid,Paid,4/1/2020,https://my.matterport.com/show/?m=5ngGZLo23Wx&brand=0,0bc24a82-dcda-e111-8bec-78e3b50834e7,0bc24a82-dcda-e111-8bec-78e3b50834e7,0c59247a-5a3b-45b7-b6de-87716511a773
Jessica Dillion,22704,Cameron Estate Inn,2,Paid,Paid,4/1/2020,https://my.matterport.com/show/?m=B4M7T3c5ozy&brand=0,66dbc6e5-96da-e111-8bec-78e3b50834e7,66dbc6e5-96da-e111-8bec-78e3b50834e7,c92ba5be-1f1f-41d2-92fa-87e54fa3b629
Amy Reynolds,996031,The Historic Post Office,2,Paid,Paid,4/1/2020,https://my.matterport.com/show/?m=H7rUCHHLEhE&brand=0,9efd792e-7a34-42c6-9be1-687eda2385ae,9efd792e-7a34-42c6-9be1-687eda2385ae,71005c45-7a2d-46e2-82b8-a7d7013c5fc5
Ashley Gambee,20882,The Essex Room,2,Paid,Paid,4/1/2020,https://my.matterport.com/show/?m=P18tfedFVMY&brand=0,f15ceef5-b8da-e111-8bec-78e3b50834e7,f15ceef5-b8da-e111-8bec-78e3b50834e7,e689d25c-35ae-428c-b69d-221fe8969269
Tamara Pacwa,976636,Hilton Garden Inn Fort Walton Beach,2,Paid,Paid,4/3/2020,https://my.matterport.com/show/?m=hCDJ5HdY6ea&brand=0,cdca0e50-c42f-4675-8690-a0b6572ebb03,cdca0e50-c42f-4675-8690-a0b6572ebb03,1e657a5a-70e2-469c-a884-a7b000a8a1e8
Karrie Ploss,610449,The Old Blue Rooster Event Center,2,Paid,Paid,4/5/2020,https://my.matterport.com/show/?m=6vmqnd4dczz&brand=0,2266da4d-29d2-4c1c-84dd-f046a3e0bb42,2266da4d-29d2-4c1c-84dd-f046a3e0bb42,100d3032-0a31-4559-9c28-a1b500fcadcb
Mark Pittman,941755,The Gardens at Bethlehem Farm,2,Paid,Paid,4/6/2020,https://my.matterport.com/show/?m=x1VeyXmw5ue&brand=0,24230294-e0a3-4c7e-8a27-835892c712ae,24230294-e0a3-4c7e-8a27-835892c712ae,5fc0c369-3783-4c5c-b685-a8ac00fabfb9
Cecelia Wicklin,2414,The Woman's Club of Evanston,2,Paid,Paid,4/7/2020,https://my.matterport.com/show/?m=yiVThCrhQai&brand=0,36f5384a-7ac4-e211-8122-005056881833,36f5384a-7ac4-e211-8122-005056881833,48d58dbc-1f93-4996-ae25-2ce11ffe686f
Cecelia Wicklin,921239,Elements At Water Street,2,Paid,Paid,4/7/2020,https://my.matterport.com/show/?m=W9Qv8kBmM9w&brand=0,51e9f057-3bbc-4a10-8a27-3c71cd43fdc1,da817b74-c471-e411-8c67-0050568849ea,e66633e6-e03c-40ad-85a4-a3ea00fde66f
Karrie Ploss,95136,The Club at Tartan Fields,2,Paid,Paid,4/8/2020,https://my.matterport.com/show/?m=H6UrnY6e1N3&brand=0,39247d39-355d-494f-ab93-0c6242b91cd5,39247d39-355d-494f-ab93-0c6242b91cd5,d2fa38dd-a9f3-4ec3-92c0-a5d800a7c0f0
Cynthia Elley,671324,Thistlewood Manor & Gardens,2,Paid,Paid,4/8/2020,https://my.matterport.com/show/?m=eZyGiLSLZUF&brand=0,9742ca15-8a93-e311-9c4e-0050568849ea,9742ca15-8a93-e311-9c4e-0050568849ea,ce474615-87dc-4bd8-872a-bff432de922c
Brooke Mowry,316857,Dominion Valley Country Club,2,Paid,Paid,4/9/2020,https://my.matterport.com/show/?m=R7tHLMzck76&brand=0,43adc241-53db-e111-8bec-78e3b50834e7,43adc241-53db-e111-8bec-78e3b50834e7,1202d898-2482-4984-bfbe-41bcca4753aa
Lisa Hamilton,33726,The Romanesque Room,2,Paid,Paid,4/9/2020,https://my.matterport.com/show/?m=dLyswKj9NyJ&brand=0,974da08b-fedb-e111-8bec-78e3b50834e7,974da08b-fedb-e111-8bec-78e3b50834e7,e894197e-4a23-4c66-9f8d-e16a85b3f202
Keri Bourdelaise,593936,High Meadow Events,2,Paid,Paid,4/10/2020,https://my.matterport.com/show/?m=A7krjnNfTEp&brand=0,f8cae5dc-2db8-41bf-92bb-6e3fcc843b4c,f8cae5dc-2db8-41bf-92bb-6e3fcc843b4c,a92c0f8d-12be-4245-be21-200d9889e4ac
Amy Kautz,749187,Tranquility Farm,2,Paid,Paid,4/11/2020,https://my.matterport.com/show/?m=MTTSwW8V14S&brand=0,2ab71bbc-29dd-e411-9075-005056881833,2ab71bbc-29dd-e411-9075-005056881833,a4dd8127-bfa8-4979-9855-a473008b506d
Cecelia Wicklin,626895,Chicago Union Station,2,Paid,Paid,4/11/2020,https://my.matterport.com/show/?m=3bGSrgapjyF&brand=0,2ba83759-b7e6-46e6-8908-2848cf32d9e8,2ba83759-b7e6-46e6-8908-2848cf32d9e8,d29b1805-a5e5-496c-b045-be662c4eb4b8
Veronica Hatch,124694,Red Barn Studios,2,Paid,Paid,4/11/2020,https://my.matterport.com/show/?m=pUmiYygXEeb&brand=0,d7a38648-1bdc-e111-8cc6-78e3b5102e43,d7a38648-1bdc-e111-8cc6-78e3b5102e43,b86c52c2-c764-447c-8346-db73c9ccec0e
Patrick Clark,1007134,6 Pastures Farm,2,Paid,Paid,4/12/2020,https://my.matterport.com/show/?m=Y2PHNboaFSE&brand=0,2cf3c8db-49b1-4fb8-8506-d46e72f2e601,2cf3c8db-49b1-4fb8-8506-d46e72f2e601,d2fc2783-fd17-40e9-85a9-a8b200b88853
Sarah Rucinski,1002481,The Alida Hotel,2,Paid,Paid,4/12/2020,https://my.matterport.com/show/?m=z3meoScydQ9&brand=0,8f59ac03-cded-4efa-9c17-93035d52566c,8f59ac03-cded-4efa-9c17-93035d52566c,e5cf793e-155c-48e2-bf31-a8b30097c211
Silver Varela,433643,Crestwood Country Club,2,Paid,Paid,4/12/2020,https://my.matterport.com/show/?m=phPQfF4hgU8&brand=0,9f3b5a9b-bbda-e111-8bec-78e3b50834e7,9f3b5a9b-bbda-e111-8bec-78e3b50834e7,96d2482f-4a4d-4477-bfa2-e9b005f1be91
